Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us,textual_features
The Waffle Co.,"Waffle, Sandwich, Bakery, Shake, Coffee, Beverages",New,₹400 for two,2.5,"Civil Lines, Agra","Local Sourcing, Great Service, Customizable Dishes","Waffle, Sandwich, Bakery, Shake, Coffee, BeveragesLocal Sourcing, Great Service, Customizable Dishes₹400 for twoNew"
Henry's The English Pub - Radisson Hotel Agra,"Continental, Fast Food, Desserts",3.9,"₹3,400 for two",4.2,"Radisson Hotel Agra, Tajganj, Agra","Local Sourcing, Breakfast, Perfect Place","Continental, Fast Food, DessertsLocal Sourcing, Breakfast, Perfect Place₹3,400 for two3.9"
Starbucks Coffee,"Cafe, Coffee, Fast Food",-,₹900 for two,4.3,"Tajganj, Agra","Variety of Beer, Well-priced Options, Main Course","Cafe, Coffee, Fast FoodVariety of Beer, Well-priced Options, Main Course₹900 for two-"
Deviram Sweets & Restaurant,"Mithai, North Indian, Fast Food, Beverages, Desserts, South Indian",4.2,₹650 for two,1.8,"Rakabganj, Agra","Diverse Menu, Clean Environment, Satisfying Portions","Mithai, North Indian, Fast Food, Beverages, Desserts, South IndianDiverse Menu, Clean Environment, Satisfying Portions₹650 for two4.2"
Sardar G Malai Chaap Junction,"North Indian, Rolls, Momos",3.8,₹300 for two,2.6,"Civil Lines, Agra","Ambience, Authentic Flavors, Hospitable Staff","North Indian, Rolls, MomosAmbience, Authentic Flavors, Hospitable Staff₹300 for two3.8"
Mughal Pavilion - ITC Mughal,"North Indian, Chinese, Continental",4.0,"₹2,500 for two",3.1,"ITC Mughal, Tajganj, Agra","Vintage Decor, Consistent Quality, Cafe","North Indian, Chinese, ContinentalVintage Decor, Consistent Quality, Cafe₹2,500 for two4.0"
De Eros Cafe,"Cafe, Coffee",-,₹300 for two,4.9,"Shahganj, Agra","Peaceful Ambience, Attentive Service, Extensive Mocktail Menu","Cafe, CoffeePeaceful Ambience, Attentive Service, Extensive Mocktail Menu₹300 for two-"
Manoj Restaurant,"South Indian, Chinese, North Indian",4.1,₹300 for two,0.546,"Mantola, Agra","Well-priced Options, Cozy Ambiance, Memorable Experience","South Indian, Chinese, North IndianWell-priced Options, Cozy Ambiance, Memorable Experience₹300 for two4.1"
Merry Go Round,"North Indian, Chinese, Continental, Fast Food",3.0,"₹1,300 for two",4.5,"Hotel Pushp Villa, Tajganj, Agra","Quantity, Flavorful Creations, Customizable Dishes","North Indian, Chinese, Continental, Fast FoodQuantity, Flavorful Creations, Customizable Dishes₹1,300 for two3.0"
Cake Wala,Bakery,3.6,₹300 for two,2.7,"Agra Cantt, Agra","Exquisite Taste, Weekend Brunch, Brewed Beer","BakeryExquisite Taste, Weekend Brunch, Brewed Beer₹300 for two3.6"
Temptation,"North Indian, Chinese, Fast Food",4.1,"₹1,000 for two",3.8,"Kamla Nagar, Agra","Ambience, Good Bartenders, Ambiance","North Indian, Chinese, Fast FoodAmbience, Good Bartenders, Ambiance₹1,000 for two4.1"
Om Restaurant,"North Indian, Beverages",3.6,₹400 for two,2.5,"Agra Cantt, Agra","Customizable Dishes, Hospitable Staff, Clean Environment","North Indian, BeveragesCustomizable Dishes, Hospitable Staff, Clean Environment₹400 for two3.6"
Papa Ji Da Dhaba,North Indian,4.2,₹250 for two,2.7,"Civil Lines, Agra","Great Service, Ambience, Hospitality","North IndianGreat Service, Ambience, Hospitality₹250 for two4.2"
Theobroma,"Bakery, Desserts",-,₹300 for two,3.2,"Khandari, Agra","Quantity, Main Course, Flavorful Creations","Bakery, DessertsQuantity, Main Course, Flavorful Creations₹300 for two-"
Sarpanch,"North Indian, South Indian, Fast Food, Chinese, Coffee, Ice Cream",-,₹600 for two,2.8,"Civil Lines, Agra","Attentive Service, Quantity, Exquisite Taste","North Indian, South Indian, Fast Food, Chinese, Coffee, Ice CreamAttentive Service, Quantity, Exquisite Taste₹600 for two-"
Dasaprakash - A South Indian Cafe,South Indian,3.3,₹800 for two,2.7,"Tajganj, Agra","Attentive Service, Comfortable Seating, Quantity","South IndianAttentive Service, Comfortable Seating, Quantity₹800 for two3.3"
Golden China Restaurant,"Chinese, Rolls, North Indian, Mughlai, Biryani, Italian, Desserts, Beverages",3.7,"₹1,000 for two",3.5,"Tajganj, Agra","Flavorful Creations, Impeccable Presentation, Inviting Decor","Chinese, Rolls, North Indian, Mughlai, Biryani, Italian, Desserts, BeveragesFlavorful Creations, Impeccable Presentation, Inviting Decor₹1,000 for two3.7"
Brijwasi  Sweets & Restaurant,"Mithai, North Indian, South Indian, Fast Food, Shake",3.7,₹350 for two,2.4,"Civil Lines, Agra","Local Sourcing, Cozy Ambiance, Trendy Setting","Mithai, North Indian, South Indian, Fast Food, ShakeLocal Sourcing, Cozy Ambiance, Trendy Setting₹350 for two3.7"
Bhoji,"North Indian, Fast Food, Burger, Shake",3.7,₹350 for two,4.0,"Shahganj, Agra","Customizable Dishes, Flavorful Creations, Attentive Service","North Indian, Fast Food, Burger, ShakeCustomizable Dishes, Flavorful Creations, Attentive Service₹350 for two3.7"
The Forest,"North Indian, Italian, Chinese",4.0,₹800 for two,5.5,"Sikandra, Agra","Breakfast, Innovative Dishes, Seasonal Menu","North Indian, Italian, ChineseBreakfast, Innovative Dishes, Seasonal Menu₹800 for two4.0"
Chatora Station Restaurant,"North Indian, Chinese, Fast Food, Mughlai",3.9,₹400 for two,5.6,"Gopal Pura, Agra","Main Course, Inviting Decor, Efficient Service","North Indian, Chinese, Fast Food, MughlaiMain Course, Inviting Decor, Efficient Service₹400 for two3.9"
Udupi Brindavan Vegetarian Restaurant,"South Indian, North Indian, Chinese",-,₹900 for two,3.3,"Kamla Nagar, Agra","Cozy Ambiance, Inviting Decor, Good Bartenders","South Indian, North Indian, ChineseCozy Ambiance, Inviting Decor, Good Bartenders₹900 for two-"
Australian Cafe Pizza,"Pizza, Burger, Fast Food",4.2,₹400 for two,3.9,"Shahganj, Agra","Trendy Setting, Satisfying Portions, Cafe","Pizza, Burger, Fast FoodTrendy Setting, Satisfying Portions, Cafe₹400 for two4.2"
Chimmanlal Puri Wale,"North Indian, Street Food, Mithai",3.8,₹300 for two,0.417,"Mantola, Agra","Good Bartenders, Staff, Impeccable Presentation","North Indian, Street Food, MithaiGood Bartenders, Staff, Impeccable Presentation₹300 for two3.8"
Infini – The Sky Lounge - Taj Hotel & Convention Centre,"North Indian, Fast Food, Finger Food, Beverages",4.0,"₹2,800 for two",4.3,"Taj Hotel & Convention Centre, Tajganj, Agra","Creative Cuisine, Attentive Service, Comfortable Seating","North Indian, Fast Food, Finger Food, BeveragesCreative Cuisine, Attentive Service, Comfortable Seating₹2,800 for two4.0"
Bhagat Halwai,"Mithai, North Indian, Street Food, Fast Food, Beverages",4.0,₹400 for two,4.0,"Shahganj, Agra","Extensive Mocktail Menu, Great for Dates, Fresh Ingredients","Mithai, North Indian, Street Food, Fast Food, BeveragesExtensive Mocktail Menu, Great for Dates, Fresh Ingredients₹400 for two4.0"
Deepee,"South Indian, Continental, Ice Cream, Beverages, Fast Food",3.7,₹800 for two,1.7,"Rakabganj, Agra","Great for Dates, Inviting Decor, Comfortable Seating","South Indian, Continental, Ice Cream, Beverages, Fast FoodGreat for Dates, Inviting Decor, Comfortable Seating₹800 for two3.7"
Wonder Terrace Bar & Kitchen,"North Indian, Continental, Finger Food, Beverages, BBQ",4.0,"₹3,500 for two",4.2,"Radisson Hotel Agra, Tajganj, Agra","Peaceful Ambience, Hospitality, Flavorful Creations","North Indian, Continental, Finger Food, Beverages, BBQPeaceful Ambience, Hospitality, Flavorful Creations₹3,500 for two4.0"
The Chapter Kitchen,"North Indian, Continental, Oriental, Pizza, Beverages",4.0,"₹1,200 for two",4.0,"Khandari, Agra","Authentic Flavors, Perfect Place, Diverse Menu","North Indian, Continental, Oriental, Pizza, BeveragesAuthentic Flavors, Perfect Place, Diverse Menu₹1,200 for two4.0"
Amritsari Kulcha Junction,"North Indian, Chinese, Rolls, Beverages",3.7,₹500 for two,2.7,"Civil Lines, Agra","Young Crowd, Ambiance, Vintage Decor","North Indian, Chinese, Rolls, BeveragesYoung Crowd, Ambiance, Vintage Decor₹500 for two3.7"
Maikhana – ITC Mughal,Finger Food,4.1,"₹2,000 for two",3.2,"ITC Mughal, Tajganj, Agra","Local Sourcing, Attentive Service, Breakfast","Finger FoodLocal Sourcing, Attentive Service, Breakfast₹2,000 for two4.1"
Masala Handi,"North Indian, Chinese, Fast Food, South Indian, Desserts",3.0,₹400 for two,2.7,"Civil Lines, Agra","Quantity, Sophisticated, Friendly Staff","North Indian, Chinese, Fast Food, South Indian, DessertsQuantity, Sophisticated, Friendly Staff₹400 for two3.0"
Romo's Bistro,"North Indian, Chinese, Fast Food, Momos, Rolls",2.7,₹600 for two,3.6,"Khandari, Agra","Satisfying Portions, Peaceful Ambience, Hospitality","North Indian, Chinese, Fast Food, Momos, RollsSatisfying Portions, Peaceful Ambience, Hospitality₹600 for two2.7"
Peshawri - ITC Mughal,"North Indian, Mughlai",4.5,"₹6,000 for two",3.2,"ITC Mughal, Tajganj, Agra","Well-priced Options, Efficient Service, Great for Dates","North Indian, MughlaiWell-priced Options, Efficient Service, Great for Dates₹6,000 for two4.5"
Star Ultimate Pizza,"Fast Food, Pasta, Beverages",4.0,₹400 for two,3.3,"Tajganj, Agra","Clean Environment, Inviting Decor, Local Sourcing","Fast Food, Pasta, BeveragesClean Environment, Inviting Decor, Local Sourcing₹400 for two4.0"
Plush Bar,"Continental, Fast Food",3.9,"₹2,700 for two",4.3,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra","Breakfast, Hospitality, Peaceful Ambience","Continental, Fast FoodBreakfast, Hospitality, Peaceful Ambience₹2,700 for two3.9"
Gifi,"Burger, Sandwich, Fast Food, Waffle, Desserts, Shake, Beverages",New,₹300 for two,4.7,"Tajganj, Agra","Courteous Staff, Staff, Sophisticated","Burger, Sandwich, Fast Food, Waffle, Desserts, Shake, BeveragesCourteous Staff, Staff, Sophisticated₹300 for twoNew"
Tealogy,"Beverages, Shake, Sandwich, Fast Food, Street Food",4.6,₹400 for two,2.7,"Civil Lines, Agra","Staff, Friendly Staff, Impeccable Presentation","Beverages, Shake, Sandwich, Fast Food, Street FoodStaff, Friendly Staff, Impeccable Presentation₹400 for two4.6"
Meet N Eat Onwheel,"North Indian, Chinese, Burger, Fast Food",-,₹300 for two,5.9,"Dayal Bagh, Agra","Main Course, Ambience, Attentive Service","North Indian, Chinese, Burger, Fast FoodMain Course, Ambience, Attentive Service₹300 for two-"
New Agra Fast Food & Restaurant,"North Indian, South Indian",3.7,₹250 for two,3.3,"Tajganj, Agra","Perfect Place, Main Course, Seasonal Menu","North Indian, South IndianPerfect Place, Main Course, Seasonal Menu₹250 for two3.7"
Pizza King,"Pizza, Fast Food",New,₹450 for two,4.1,"Tajganj, Agra","Memorable Experience, Attentive Service, Main Course","Pizza, Fast FoodMemorable Experience, Attentive Service, Main Course₹450 for twoNew"
Costa Coffee,"Cafe, Coffee, Beverages, Bakery, Desserts",-,₹800 for two,3.0,"Civil Lines, Agra","Hospitality, Authentic Flavors, Hospitable Staff","Cafe, Coffee, Beverages, Bakery, DessertsHospitality, Authentic Flavors, Hospitable Staff₹800 for two-"
Cremeborne - Ice Creams and Desserts,"Bakery, Waffle, Ice Cream, Coffee, Shake",4.0,₹500 for two,4.4,"Khandari, Agra","Cafe, Friendly Staff, Young Crowd","Bakery, Waffle, Ice Cream, Coffee, ShakeCafe, Friendly Staff, Young Crowd₹500 for two4.0"
Bikanervala,"Mithai, North Indian, Chinese, South Indian, Fast Food, Desserts, Beverages",4.0,₹700 for two,3.5,"Tajganj, Agra","Sustainable Practices, Variety of Beer, Inviting Decor","Mithai, North Indian, Chinese, South Indian, Fast Food, Desserts, BeveragesSustainable Practices, Variety of Beer, Inviting Decor₹700 for two4.0"
Bhagat Halwai,"Mithai, Chinese, South Indian, Street Food, Fast Food, Desserts, Bakery",3.8,₹300 for two,4.5,"Dayal Bagh, Agra","Cozy Ambiance, Local Sourcing, Diverse Menu","Mithai, Chinese, South Indian, Street Food, Fast Food, Desserts, BakeryCozy Ambiance, Local Sourcing, Diverse Menu₹300 for two3.8"
Jain Fast Food & Restaurant,"North Indian, South Indian, Chinese, Fast Food",-,₹450 for two,3.8,"Trans Yamuna, Agra","Sustainable Practices, Cozy Ambiance, Well-priced Options","North Indian, South Indian, Chinese, Fast FoodSustainable Practices, Cozy Ambiance, Well-priced Options₹450 for two-"
C'est Chine - Jaypee Palace Hotel,Chinese,4.4,"₹2,500 for two",4.4,"Jaypee Palace Hotel, Tajganj, Agra","Sophisticated, Satisfying Portions, Creative Cuisine","ChineseSophisticated, Satisfying Portions, Creative Cuisine₹2,500 for two4.4"
Charlly Restaurant & Resort,"South Indian, Pizza, Burger, Chinese, Fast Food, Salad, Desserts, Beverages",New,₹300 for two,12.3,"Shahganj, Agra","Exquisite Taste, Weekend Brunch, Innovative Dishes","South Indian, Pizza, Burger, Chinese, Fast Food, Salad, Desserts, BeveragesExquisite Taste, Weekend Brunch, Innovative Dishes₹300 for twoNew"
Bread N Mime Cafe,"Cafe, Fast Food, Burger, North Indian, Street Food, Beverages, Desserts",3.9,₹600 for two,4.4,"Tajganj, Agra","Memorable Experience, Staff, Impeccable Presentation","Cafe, Fast Food, Burger, North Indian, Street Food, Beverages, DessertsMemorable Experience, Staff, Impeccable Presentation₹600 for two3.9"
Shree Ram Poori Wale,"North Indian, Street Food",3.8,₹100 for two,5.2,"Sikandra, Agra","Variety of Beer, Creative Cuisine, Comfortable Seating","North Indian, Street FoodVariety of Beer, Creative Cuisine, Comfortable Seating₹100 for two3.8"
Joney's Place,"Biryani, Fast Food, North Indian, Chinese, Beverages",2.6,₹450 for two,2.4,"Tajganj, Agra","Sophisticated, Good Bartenders, Well-priced Options","Biryani, Fast Food, North Indian, Chinese, BeveragesSophisticated, Good Bartenders, Well-priced Options₹450 for two2.6"
MKOP,"Bakery, Desserts, Street Food, Rolls, Beverages",4.3,₹300 for two,2.7,"Civil Lines, Agra","Consistent Quality, Great for Dates, Variety of Beer","Bakery, Desserts, Street Food, Rolls, BeveragesConsistent Quality, Great for Dates, Variety of Beer₹300 for two4.3"
Hippo's Krates Cafe,"Chinese, Momos, Beverages, Fast Food",4.0,₹600 for two,3.7,"Tajganj, Agra","Hospitality, Great for Dates, Trendy Setting","Chinese, Momos, Beverages, Fast FoodHospitality, Great for Dates, Trendy Setting₹600 for two4.0"
Ram Babu Parathe Wale,"North Indian, South Indian, Chinese, Fast Food, Desserts",3.3,₹400 for two,8.7,"Sikandra, Agra","Peaceful Ambience, Courteous Staff, Weekend Brunch","North Indian, South Indian, Chinese, Fast Food, DessertsPeaceful Ambience, Courteous Staff, Weekend Brunch₹400 for two3.3"
Agarwal Chat Bhandhar,"Street Food, South Indian",4.1,₹150 for two,4.2,"Agra Cantt, Agra","Fresh Ingredients, Comfortable Seating, Extensive Mocktail Menu","Street Food, South IndianFresh Ingredients, Comfortable Seating, Extensive Mocktail Menu₹150 for two4.1"
Bethakk,"Fast Food, Beverages",4.1,₹250 for two,1.3,"Rakabganj, Agra","Authentic Flavors, Warm Atmosphere, Young Crowd","Fast Food, BeveragesAuthentic Flavors, Warm Atmosphere, Young Crowd₹250 for two4.1"
Al Zameer Restaurant,"North Indian, Mughlai",3.8,₹400 for two,1.9,"Mantola, Agra","Memorable Experience, Peaceful Ambience, Satisfying Portions","North Indian, MughlaiMemorable Experience, Peaceful Ambience, Satisfying Portions₹400 for two3.8"
Jai Maa Bhawani Bhojanalya,North Indian,3.0,₹200 for two,4.6,"Trans Yamuna, Agra","Consistent Quality, Innovative Dishes, Exquisite Taste","North IndianConsistent Quality, Innovative Dishes, Exquisite Taste₹200 for two3.0"
Bhagat Halwai,"Mithai, North Indian, Momos, Chinese, Street Food, Pizza, Fast Food",3.0,₹400 for two,7.0,"Sikandra, Agra","Exquisite Taste, Local Sourcing, Comfortable Seating","Mithai, North Indian, Momos, Chinese, Street Food, Pizza, Fast FoodExquisite Taste, Local Sourcing, Comfortable Seating₹400 for two3.0"
Haldiram Food Court,North Indian,3.7,₹200 for two,3.1,"Civil Lines, Agra","Breakfast, Peaceful Ambience, Young Crowd","North IndianBreakfast, Peaceful Ambience, Young Crowd₹200 for two3.7"
Nazeer Foods,"North Indian, Fast Food, Biryani",3.0,₹500 for two,2.8,"Civil Lines, Agra","Innovative Dishes, Good Bartenders, Exquisite Taste","North Indian, Fast Food, BiryaniInnovative Dishes, Good Bartenders, Exquisite Taste₹500 for two3.0"
Pizza Delight Cafe And Restaurant,"Pizza, Fast Food",3.6,₹250 for two,6.3,"Trans Yamuna, Agra","Sustainable Practices, Cafe, Warm Atmosphere","Pizza, Fast FoodSustainable Practices, Cafe, Warm Atmosphere₹250 for two3.6"
Red Chilli Cafe & Restaurant,"North Indian, Chinese, Street Food, Mughlai, South Indian, Fast Food, Beverages, Desserts",3.5,"₹1,400 for two",2.4,"Agra Cantt, Agra","Friendly Staff, Comfortable Seating, Creative Cuisine","North Indian, Chinese, Street Food, Mughlai, South Indian, Fast Food, Beverages, DessertsFriendly Staff, Comfortable Seating, Creative Cuisine₹1,400 for two3.5"
Maple Restaurant,"North Indian, Chinese, Rolls, Fast Food",3.5,₹500 for two,4.0,"Tajganj, Agra","Attentive Service, Great for Dates, Consistent Quality","North Indian, Chinese, Rolls, Fast FoodAttentive Service, Great for Dates, Consistent Quality₹500 for two3.5"
Aleem Restaurant,North Indian,-,₹350 for two,2.7,"Civil Lines, Agra","Cafe, Ambience, Consistent Quality","North IndianCafe, Ambience, Consistent Quality₹350 for two-"
The Restaurant - Trident Hotel,"North Indian, Chinese, Continental",4.2,"₹2,000 for two",4.3,"Trident Hotel, Tajganj, Agra","Exquisite Taste, Ambiance, Staff","North Indian, Chinese, ContinentalExquisite Taste, Ambiance, Staff₹2,000 for two4.2"
Welcome Yadav Dhaba,North Indian,3.9,₹300 for two,3.3,"Lohamandi, Agra","Perfect Place, Peaceful Ambience, Vintage Decor","North IndianPerfect Place, Peaceful Ambience, Vintage Decor₹300 for two3.9"
Cakery N Bakery,"Bakery, Desserts, Coffee, Sandwich, Fast Food, Burger",3.6,₹500 for two,4.0,"Tajganj, Agra","Friendly Staff, Staff, Consistent Quality","Bakery, Desserts, Coffee, Sandwich, Fast Food, BurgerFriendly Staff, Staff, Consistent Quality₹500 for two3.6"
Peppers Cafe & Kitchen,"Italian, Chinese, North Indian, Desserts, Shake",-,"₹1,000 for two",7.1,"Sikandra, Agra","Cafe, Good Bartenders, Local Sourcing","Italian, Chinese, North Indian, Desserts, ShakeCafe, Good Bartenders, Local Sourcing₹1,000 for two-"
Chainess,"Street Food, Sandwich, Fast Food, Tea, Beverages",4.4,₹300 for two,2.8,"Civil Lines, Agra","Well-priced Options, Attentive Service, Innovative Dishes","Street Food, Sandwich, Fast Food, Tea, BeveragesWell-priced Options, Attentive Service, Innovative Dishes₹300 for two4.4"
